Administrator,Access Type,Notes,Use Type,lake_id
Unknown,Channel,Access through outlet channel to Round Lake.,Unknown,31087400
DNR,Concrete,,Open to Public use,31087600
US Forest Service,Carry-In,,Open to Public use,31087600
Unknown,Other,STATE OWNED ACCESS LOCATED ON WEST SHORE NORTH OF POPPLE RIVER. EARTH RAMP.,Unknown,31087700
US Forest Service,Concrete,Picnic area and boat ramp N and W of the County Rd 29 bridge crossing at Dora Lake.,Open to Public use,31088200
Unknown,Other,Access on S. end of lake along Forest Service Road #2227.,Unknown,31088900
DNR,Concrete,,Open to Public use,31089600
DNR,Concrete,,Open to Public use,31089600
US Forest Service,Concrete,limited parking,Open to Public use,31089800
US Forest Service,Carry-In,Off USFS Rd. 2199 on East shore-No designated public access.,Unknown,31090100
County,Earthen,There is a county administered access with an earthen boat landing on the west shore of the lake (mowed grass strip on a steep hillside).,Open to Public use,31090400
Unknown,Other,Access to the lake on the West side but closed to vehicles due to deep ruts and clay soil.,Unknown,31090600
US Forest Service,Earthen,Off County Road 33 on southwest corner of lake.,Unknown,31090700
Unknown,Earthen,Very poor user developed access. It is located on a busy highway (State Hwy 46) with no parking available.,Unknown,31091000
US Forest Service,Concrete,,Open to Public use,31091000
Unknown,Other,FOREST TRAIL OFF S.H. #46 LEADS TO A PRIMITIVE ACCESS ON SOUTH SHORE OF THE LAKE.,Unknown,31091100
Unknown,Other,North end of lake off U.S.F.S. Road #2229,Unknown,31091200
DNR,Concrete,,Open to Public use,31091300
,Earthen,Southeastern shoreline off South Island Lake Road.,Open to Public use,31091300
Unknown,Earthen,,Unknown,31091300
Township,Earthen,,Open to Public use,31092100
Unknown,Other,No land access available; access is from Lake Winnibigoshish.,Unknown,31092600
Unknown,Other,EAST SHORE STATE OWNED T.148N R 29W SEC 18.,Unknown,31093400
Unknown,Other,At bridge at outlet,Unknown,31093600
DNR,Other,,Open to Public use,31094500
DNR,Earthen,,Open to Public use,31094600
City,Concrete,,Open to Public use,31122500
Tax forfeit,Concrete,"High and dry, no access possible.",Open to Public use,31132601
Tax forfeit,Earthen,"With decreasing water levels, the turn around area is becoming smaller.",Open to Public use,31132601
County,Other,COUNTY RIGHT-OF-WAY ON NW SHORE.,Unknown,32000800
DNR,Concrete,STATE LEASED ACCESS ON SOUTH SIDE OF LAKE,Open to Public use,32001700
DNR,Concrete,STATE-OWNED BOAT ACCESS SOUTHWEST SHORELINE.,Open to Public use,32001800
Township,Carry-In,CARRY ON ACCESS OFF TOWNSHIP ROAD ON NE SIDE OF LAKE.,Unknown,32001800
Township,Carry-In,CARRY ON ACCESS OFF TOWNSHIP ROAD ON SE SIDE OF LAKE.,Unknown,32001800
DNR,Concrete,State owned access on southwest side of lake.,Open to Public use,32002000
County,Concrete,T101N; R36W; S25. SOUTHEAST SIDE OF THE LAKE.,Unknown,32002000
DNR,Concrete,State owned access in S.18 on N side.,Open to Public use,32002200
County,Concrete,County owned access in S.19 on southwest side of the lake.,Unknown,32002200
Bordering State,Concrete,,Open to Public use,32002400
Bordering State,Gravel,STATE OF IOWA PUBLIC ACCESS ON SOUTH SIDE OF THE LAKE.,Open to Public use,32002400
Fish and Wildlife Service,Other,NO BOAT ACCESS; ACCESS TO THE LAKE IS THRU A FEDERAL WATERFOWL PRODUCTION AREA ON NE.,Unknown,32003100
County,Concrete,COUNTY ACCESS ON SOUTHWEST SIDE OF LAKE.,Unknown,32003300
County,Carry-In,COUNTY PARK ON EAST SIDE OF LAKE.,Unknown,32003300
DNR,Carry-In,DNR access on Northwest side T-103 R-37 S-15,Open to Public use,32005707
County,Concrete,County access on east side T-103 R-36 S-19,Open to Public use,32005707
County,Concrete,County access on West side T-103 R-37 S-24,Open to Public use,32005707
DNR,Concrete,DNR ACCESS ON EAST END OF LAKE. PURCHASED AND DEVELOPED BY TRAILS AND WATERWAYS IN 1993.,Open to Public use,32005800
Township,Gravel,TOWNSHIP OWNED ACCESS ON SOUTH SIDE OF LAKE. GRAVEL ACCESS.,Open to Public use,32006900
DNR,Concrete,STATE OWNED BOAT ACCESS ON EAST SIDE OF THE LAKE. WAS IMPROVED TO DOUBLE CONCRETE RAMP IN 1990.,Open to Public use,32006900
County,Gravel,COUNTY OWNED ACCESS ON NORTH SIDE OF LAKE. GRAVEL ACCESS; COULD POSSIBLY BE CONSIDERED CARRY ON.,Unknown,32006900
DNR,Concrete,Smaller access. Gravel turn around area with parking for 6 or so rigs.,Open to Public use,33000100
DNR,Earthen,A STATE OWNED PUBLIC ACCESS IS LOCATED AT THE S END OF THE LAKE WITHIN THE WILDLIFE MGMT AREA.,Open to Public use,33000300
DNR,Gravel,,Open to Public use,33000900
DNR,Gravel,,Open to Public use,33001500
Township,Earthen,An unimproved access off of the gravel township road along the northwest shore of the lake.,Unknown,33001500
MnDOT,Concrete,Parking for 20 trailers. Asphalt approach and Parking lot.,Open to Public use,33002800
DNR,Concrete,South end of lake off County Road 19 Gravel lot and approach. Parking for ten.,Open to Public use,33002800
County,Carry-In,"Parking along Road, walk in only",Open to Public use,33002800
DNR,Pier,"South end of Lake off Co Rd 19, across from boat landing Gravel parking area for 6 vehicles",Open to Public use,33002800
DNR,Concrete,State-owned access is located on the east side of the lake off of 110th Ave. Parking for 8 vehicles with trailers.,Open to Public use,33003200
Unknown,Other,NONE,Unknown,33003400
DNR,Concrete,,Open to Public use,33003600
MnDOT,Concrete,,Open to Public use,33003600
DNR,Asphalt,Parking for 8 or so rigs.,Open to Public use,33004000
Private Property,Carry-In,Resort access next to AC1. Boat rental available.,Fee/Permit needed,33004000
DNR,Asphalt,"Large parking lot (gravel), two ramps and dock.",Open to Public use,34002202
City,Pier,Pier is on Tadd Basin.,Open to Public use,34002800
City,Shore,City Park adjoining both basins. Township road right away along Upper Basin.,Open to Public use,34002800
County,Gravel,Large gravel parking lot with single ramp and boat dock.,Open to Public use,34003200
DNR,Concrete,Parking along the side of township road. No turn around. Back in access off of road right away.,Open to Public use,34003300
County,Concrete,,Open to Public use,34004400
County,Concrete,Limited parking.,Open to Public use,34004400
DNR,Concrete,One boat ramp and one dock. Large gravel parking area. Shore fishing spots below the two dams.,Open to Public use,34006200
Township,ROW,Access via the township road right-away.,Open to Public use,34006200
Township,ROW,Carry-in access or potential winter access if snow accumulation minimal. No parking available.,Open to Public use,34006200
DNR,Concrete,Large asphault parking lot with conrete ramp.,Open to Public use,34006600
Township,Gravel,Small township access,Open to Public use,34006600
DNR,Concrete,Large gravel parking lot. One boat ramp and dock. Waterfowl Resting Area. No use of motor-propelled watercraft or aircraft during open waterfowl season.,Open to Public use,34007200
Township,Gravel,No ramps or docks. Back off of the township road.,Open to Public use,34007600
DNR,Carry-In,No ramps or docks present.,Open to Public use,34007600
Township,Gravel,Limited parking and turn-around. Steep hill with trees in the way. No sign at the gravel road.,Open to Public use,34007800
DNR,Concrete,New parking lot and ramps in 2005. Two ramps. Access is adjacent to Kandiyohi County Park#5. Cooperative access with Kandiyohi County.,Open to Public use,34007900
DNR,Concrete,Newer access and ample parking available. Four ramps. Cooperative access with the city of Spicer.,Open to Public use,34007900
Township,Concrete,Limited parking and turn around at the access.,Open to Public use,34007900
Township,Concrete,Limited parking and turn around at the access.,Open to Public use,34007900
DNR,Concrete,Improved access for launching and parking. Cooperative access with New London Township and DNR.,Open to Public use,34007900
Township,Concrete,Limited parking and turn around at the access.,Open to Public use,34007900
County,Concrete,"Two ramps, dock, large gravel parking lot.",Open to Public use,34008600
DNR,Concrete,"Two ramps, dock, and large asphalt parking lot.",Open to Public use,34008600
County,Concrete,Limited parking (3) and turn around. Gravel parking lot.,Open to Public use,34011600
DNR,Concrete,East side of lake off of a residential gravel road that ties into County Road 8. Large parking lot.,Open to Public use,34011900
DNR,Concrete,Limited parking and turn around available.,Open to Public use,34014200
DNR,Concrete,"Two ramps, boat dock, and large asphalt parking area. Access is in a protected bay. DNR Trail access adjacent to the parking lot.",Open to Public use,34015400
DNR,Concrete,"One ramp, boat dock, and large gravel parking area.",Open to Public use,34015400
DNR,Concrete,Limited Parking. Access lake via the Middle Fork of Crow River channel.,Open to Public use,34015800
DNR,Concrete,,Open to Public use,34015800
County,Concrete,,Open to Public use,34015800
Township,Concrete,Limited parking.,Open to Public use,34015800
Private Property,Concrete,,Fee/Permit needed,34015800
DNR,Pier,,Open to Public use,34015800
City,Shore,City park with a dock.,Open to Public use,34015800
DNR,Concrete,Limited gravel parking lot and turn around. One ramp and dock.,Open to Public use,34016900
DNR,Concrete,Large gravel parking area. One ramp and dock.,Open to Public use,34016900
DNR,Concrete,Double ramp and two docks. Large parking and turn around.,Open to Public use,34017100
DNR,Asphalt,Vehicles allowed on asphalt driveway next to multiple shore platforms.,Open to Public use,34017200
DNR,Concrete,Gravel parking lot with up to 10 spots.,Open to Public use,34017200
City,Concrete,Large gravel parking lot and turn around area.,Open to Public use,34018000
,Channel,,Open to Public use,34018000
City,Concrete,Parking and turn around located adjacent to County Fairgrounds' entrance. Dock present.,Open to Public use,34018100
DNR,Channel,Open water channel under city park bridge.,Open to Public use,34018100
County,Gravel,No dock. Ample parking and turn around.,Open to Public use,34018100
City,Pier,,Open to Public use,34018100
DNR,Asphalt,Large parking area and shore fishing spot. Wind rows of dead curly-leaf pondweed often occurs at this access during late June to early July.,Open to Public use,34019200
DNR,Asphalt,Large parking area with double ramps.,Open to Public use,34019200
DNR,Concrete,"Steep ramp, dock, adequate parking available.",Open to Public use,34019300
DNR,Concrete,,Open to Public use,34020600
DNR,Concrete,,Open to Public use,34020600
DNR,Concrete,,Open to Public use,34020600
DNR,Carry-In,State Park sticker required to use the access.,Open to Public use,34020600
DNR,Carry-In,State Park Sticker Required.,Open to Public use,34020800
DNR,Gravel,Limited parking. Gravel ramp and parking lot.,Open to Public use,34020800
DNR,Asphalt,"Parking lot, dock, portable bathroom and turn around.",Open to Public use,34021700
DNR,Other,Public access on west side of dike and platform only.,Open to Public use,34021700
DNR,Concrete,"One ramp, dock, bathroom and adequate parking. A small fishing pier downstream of dam next to parking area and CR#5 culvert.",Open to Public use,34022400
County,Concrete,"One ramp, dock, bathroom, limited parking and campground.",Open to Public use,34022400
DNR,Channel,"Boat navigation possible, pontoon navigation unlikely due to narrow width of the channel.",Open to Public use,34022400
DNR,Asphalt,,Open to Public use,34024600
DNR,Concrete,"Two ramps, dock, large parking area and portable bathroom.",Open to Public use,34025100
DNR,Concrete,Small parking area with dock.,Open to Public use,34025100
DNR,Channel,"Channel Width Sufficient For Boat Passage, But Not For Pontoons.",Open to Public use,34025100
DNR,Shore,No docks. Trail near waters edge.,Open to Public use,34025100
DNR,Shore,No docks. Trail near waters edge.,Open to Public use,34025100
DNR,Shore,No docks. Trail near edge of water.,Open to Public use,34025100
Township,Concrete,One Ramp and Dock. Adequate Parking.,Open to Public use,34032100
Unknown,Other,None,Unknown,34034700
DNR,Concrete,Double concrete slab with landing dock and large parking area.,Fee/Permit needed,35000300
DNR,Concrete,"Small dock, concrete and gravel ramp, probably best as canoe access.",Fee/Permit needed,35000300
DNR,Other,State Forestry public access on North side of lake; off Hwy 217 and end of State Forestry Road.,Open to Public use,36000800
County,Gravel,"Access upgraded in 2007. Parking area made bigger, more gravel on approach to gravel ramp, campsite day-use site improved.",Open to Public use,36000900
County,Gravel,A county access is located on the south side of the lake.,Unknown,36001100
DNR,Concrete,State-owned access located on the north side of the lake; off county road 25.,Open to Public use,36001400
City,Earthen,"South side of lake, within the municipal campground.",Open to Public use,36001800
County,Gravel,South side of lake. Access road off Hwy1.,Open to Public use,36001900
Unknown,Carry-In,Access to Cameron is carry-in via state trail crossing at outlet.,Unknown,36002100
DNR,Earthen,This is an unimproved access located on State land. However; the gravel pit road into the access crosses private land.,Open to Public use,36002400
County,Gravel,Gravel ramp. Very good condition.,Open to Public use,36003800
County,Earthen,AC1 is an unimproved site located at the end of a two track road on County land.,Unknown,36003900
County,Carry-In,"Bottle Lake is surrounded entirely by County land. There is a recreational trail that circles the lake. This trail is designed for use by walker, hunters and skiers. There is a parking lot located just off Hwy 71 south of Northome.",Open to Public use,36006400
DNR,Concrete,,Open to Public use,37004600
DNR,Earthen,,Open to Public use,37004600
DNR,Concrete,,Open to Public use,37004600
DNR,Gravel,,Open to Public use,37004600
DNR,Concrete,,Open to Public use,37004600
DNR,Concrete,,Open to Public use,37004600
DNR,Concrete,,Open to Public use,37004600
DNR,Gravel,,Open to Public use,37004600
DNR,Concrete,,Open to Public use,37004600
DNR,Concrete,,Fee/Permit needed,37004600
US Forest Service,Carry-In,Upstream of culvert at USFS Rd. #1226. High water made access easier and shorter than usual.,Open to Public use,38000100
US Forest Service,Other,20 rod portage from southeast corner of Whitefish Lake to northwest corner of South Wigwam Lake.,Unknown,38000100
US Forest Service,Carry-In,Carry-in trail from USFS Rd. #1226. Trail goes down the hill next the culverts and parallels the stream.,Open to Public use,38000200
US Forest Service,Portage,,Open to Public use,38000300
US Forest Service,Carry-In,,Open to Public use,38000300
US Forest Service,Portage,,Open to Public use,38000300
US Forest Service,Carry-In,,Open to Public use,38000400
Unknown,Other,Foot trail to W arm of Lake from Ogishkemuncie Lake.,Unknown,38000900
Unknown,Other,25 rod trail from Paco Lake to the SW part of the lake.,Unknown,38001000
DNR,Carry-In,,Open to Public use,38001400
DNR,Carry-In,,Open to Public use,38001600
DNR,Carry-In,,Fee/Permit needed,38001800
US Forest Service,Carry-In,,Open to Public use,38002000
US Forest Service,Portage,More likely to be used as a snowmobile access.,Open to Public use,38002000
US Forest Service,Carry-In,"The logging road was brushed out in 2011; however, it is only suitable for ATV or foot travel.",Open to Public use,38002000
Unknown,Other,NONE,Unknown,38002100
US Forest Service,Other,A 0.3 mi. portage trail from northwest shore of Thunderbird Lake to the southeast shore of Shoepack Lake. Not well defined.,Unknown,38002300
US Forest Service,Concrete,"On northwest side of main lake basin, off of USFS Road #358. Small parking area for 4 vehicles. No dock at access.",Open to Public use,38002400
County,Gravel,,Open to Public use,38002600
Unknown,Other,No developed public access.,Unknown,38002700
County,Gravel,A gravel boat access is located at the southeast end of the lake. Lake County Rd. #7 runs along the length of the east shore and there are many sites for shore fishing.,Open to Public use,38002800
US Forest Service,Carry-In,Quarter mile carry-in from parking area on Lake County Hwy 7. A fairly steep climb uphill to the east shore.,Open to Public use,38002900
DNR,Carry-In,,Open to Public use,38003100
DNR,Portage,,Open to Public use,38003100
US Forest Service,Concrete,USFS maintained dock and ramp with 24 site campground- located on the east shore.,Open to Public use,38003300
DNR,Carry-In,There is a stream crossing on this route which precludes the use of ATV/OHVs beyond the stream crossing.,Open to Public use,38003600
US Forest Service,Other,,Open to Public use,38003800
Unknown,Other,NONE,Unknown,38004000
DNR,Carry-In,,Open to Public use,38004200
US Forest Service,Carry-In,,Open to Public use,38004300
US Forest Service,Concrete,U.S. Forest Service access road on south end of the lake. Near the access there is a four site campground served by the same access road. Parking for ten vehicles in lot and dock present.,Open to Public use,38004700
US Forest Service,Carry-In,"South end of the lake, west bay (old access). Steep gravel hill. Used by campers as a carry-down access.",Open to Public use,38004800
US Forest Service,Concrete,"Southwest end of the lake, off of Lake County Rd. #7, via a public access road. Ample vehicle parking and dock present.",Open to Public use,38004800
US Forest Service,Carry-In,fs 171k,Open to Public use,38004900
Unknown,Other,,Unknown,38005000
US Forest Service,Gravel,,Open to Public use,38005100
US Forest Service,Carry-In,A carry-down access at the south end of the narrow bay on the southeast end of the lake. Short drive down road off of Lake County Rd. #7. Parking for a couple vehicles.,Open to Public use,38005300
US Forest Service,Carry-In,,Open to Public use,38005400
County,Carry-In,Path off of Lake County Road 7. Suitable for canoe or very small boat.,Unknown,38005500
US Forest Service,Carry-In,"Access is suitable for portage wheels, although it is rough and uneven.",Open to Public use,38005600
US Forest Service,Shore,,Open to Public use,38005700
US Forest Service,Gravel,Gravel boat ramp off USFS Rd. #172 at campground. No dock present.,Open to Public use,38005700
US Forest Service,Pier,,Open to Public use,38005700
US Forest Service,Portage,,Open to Public use,38005700
US Forest Service,Portage,,Open to Public use,38005800
US Forest Service,Carry-In,,Open to Public use,38005800
US Forest Service,Other,,Open to Public use,38005800
Unknown,Other,NONE,Unknown,38005900
DNR,Portage,,Open to Public use,38006000
US Forest Service,Carry-In,,Open to Public use,38006000
US Forest Service,Portage,,Open to Public use,38006000
US Forest Service,Carry-In,"Access road is very rough, rocky, and brushy. Not advisable for vehicles with low clearance.",Open to Public use,38006400
US Forest Service,Carry-In,Access trail goes 0.8 mile (east) through old logging site. Trail leads to the far western tip of the lake.,Open to Public use,38006500
US Forest Service,Earthen,Earthen access off USFS Road #348. Access is 3.5 miles past Whitefish Lake campground. The road past Whitefish Lake is rough. Parking for a few vehicles.,Open to Public use,38006500
US Forest Service,Carry-In,A 0.5 mile carry-in trail to the east side of the lake. Trail starts from a small parking area off of Lake County Road #7.,Open to Public use,38006600
US Forest Service,Portage,A 0.2 mile portage trail from Silver Island Lake to the southwest shore of T Lake.,Open to Public use,38006600
US Forest Service,Carry-In,,Open to Public use,38006700
US Forest Service,Concrete,U.S. Forset Service maintained concrete boat ramp on the northwest end of the lake.,Open to Public use,38006800
US Forest Service,Carry-In,,Open to Public use,38006800
US Forest Service,Other,,Fee/Permit needed,38007000
US Forest Service,Portage,,Fee/Permit needed,38007000
US Forest Service,Portage,BWCAW access via canoe routes; no motorized travel allowed.,Fee/Permit needed,38007300
US Forest Service,Channel,"River channel, accessible with canoe",Open to Public use,38007400
US Forest Service,Portage,Lightly used portage trail,Open to Public use,38007400
US Forest Service,Portage,"Heavily used portage trail boulder, bedrock, and and dirt",Open to Public use,38007400
US Forest Service,Portage,Paddle and portage from Unnamed Creek from Watonwan Lake.,Fee/Permit needed,38007500
US Forest Service,Portage,"Portage trail is east of access to Kawishiwi Lake, there is a small parking area. Then a 0.94 mile portage from USFS Rd #354 to lake.",Fee/Permit needed,38007900
US Forest Service,Carry-In,"Entry point #37 to the BWCAW. A USFS maintained campground and access are located on the south shore, at the north end of USFS Rd #354",Fee/Permit needed,38008000
US Forest Service,Other,Canoe access from Square Lake to the north end of Kawishiwi Lake.,Fee/Permit needed,38008000
US Forest Service,Portage,Portage and paddle up from Watonwan Lake up Unnamed Creek. Carry across floating bog to west shore.,Open to Public use,38008200
Unknown,Other,ACCESS TO THE LAKE VIA HOG CREEK FROM USFS ROAD #354.,Unknown,38008500
US Forest Service,Portage,,Open to Public use,38009000
US Forest Service,Portage,,Open to Public use,38009000
US Forest Service,Portage,,Open to Public use,38009800
US Forest Service,Portage,,Open to Public use,38009800
US Forest Service,Portage,,Open to Public use,38010400
US Forest Service,Portage,,Open to Public use,38010400
US Forest Service,Portage,,Open to Public use,38010400
Unknown,Other,Lake is in BWCA on a non-motor route. One portage from Roe Lake.,Unknown,38011300
Unknown,Other,Portage from Little Saganaga Lake or Makwa Lake.,Unknown,38012600
Unknown,Other,Portages from Sagus and Fraser lakes in BWCA on a non-motor route.,Unknown,38013900
Unknown,Other,None designated-lives within BWCAW-paddle only.,Unknown,38014700
US Forest Service,Portage,,Open to Public use,38015300
US Forest Service,Portage,,Open to Public use,38015300
US Forest Service,Portage,,Open to Public use,38015300
Unknown,Other,Portage from Fish lake in BWCAW on non-motorized route. Superior National Forest.,Unknown,38016000
Unknown,Other,Portage from Gift or Nawakwa lakes in BWCAW paddle-only route Superior National Forest.,Unknown,38016100
Unknown,Other,By portage only-in BWCA on USFS land.,Unknown,38016200
Unknown,Other,By portage only-in BWCA.,Unknown,38016300
Unknown,Other,50 rod ~totally unimproved~ path from Gift Lake located in BWCAW and Superior National Forest on a non-motorized route.,Unknown,38016400
Unknown,Other,By portage only-in BWCA on USFS land.,Unknown,38016500
US Forest Service,Portage,,Open to Public use,38016600
US Forest Service,Portage,,Open to Public use,38016600
US Forest Service,Portage,,Open to Public use,38016600
Unknown,Other,By portage only through BWCA.,Unknown,38016800
Unknown,Other,Portage from Ely on USFS land through BWCA.,Unknown,38016900
Unknown,Other,Rough portage from Amoeber Lake. BWCA Paddle Only,Unknown,38017100
US Forest Service,Portage,16 rod portage to Amoeber Lake,Open to Public use,38017200
US Forest Service,Portage,7 rod portage to Cherry Lake,Open to Public use,38017200
Unknown,Other,Access by portage only in BWCA.,Unknown,38017300
Unknown,Other,By portage only-in BWCA USFS land.,Unknown,38017500
Unknown,Other,None designated-lies within the BWCA. Portage from Ogishkemuncie Lake.,Unknown,38017800
US Forest Service,Portage,,Open to Public use,38018000
US Forest Service,Portage,,Open to Public use,38018000
US Forest Service,Portage,,Open to Public use,38018000
US Forest Service,Portage,,Open to Public use,38018000
US Forest Service,Portage,,Open to Public use,38018000
US Forest Service,Portage,,Open to Public use,38018000
Unknown,Other,In BWCA. Portages from Knife Lake at SW end and from Holt Lake at NE end.,Unknown,38018200
Unknown,Other,LAKE IS ENTIRELY WITHIN THE BWCAW ON A NON-MOTORIZED ROUTE. PORTAGE ROUTES ARE FROM KNIFE LAKE AND KEK PONDS,Unknown,38018700
Unknown,Other,ACCESS BY CANOE AND PORTAGE ~PADDLE ONLY~.,Unknown,38018801
Unknown,Other,ACCESS BY CANOE AND PORTAGE ~PADDLE ONLY~,Unknown,38018802
Unknown,Other,ACCESSIBLE BY PORTAGE WITH CANOE ~NO MOTORS ALLOWED~.,Unknown,38018803
Unknown,Other,15 rod portage from Ogishkemuncie Lake in BWCAW on paddle-only route.,Unknown,38018900
Unknown,Other,Lies entirely within BWCA on non-motorized canoe route. Small portage trail not maintained comes from Skindance Lake.,Unknown,38019000
Unknown,Other,Lake lies entirely within BWCA on a non-motorized canoe route. There is a 25-rod portage from Ogishkemuncie Lake,Unknown,38019100
US Forest Service,Carry-In,80 rod portage from Ogishkemuncie Lake,Unknown,38019300
US Forest Service,Carry-In,100 rod portage from Agamok Lake.,Unknown,38019300
Unknown,Other,30 rod portage from Eddy Lake in BWCAW on a non-motor route.,Unknown,38019400
Unknown,Other,Portage at East end of lake from Ogishkenumcie Lake in BWCAW on paddle-only route.,Unknown,38019500
Unknown,Other,No public access; 30 rod portage from Jenny Lake.,Unknown,38019600
Unknown,Other,10 rod portage from Fish Lake. Located in Superior National Forest and BWCAW on a non-motor route.,Unknown,38020500
Unknown,Other,By portage only-in BWCA.,Unknown,38020600
Unknown,Other,By portage only-in BWCA on USFS land.,Unknown,38020700
Unknown,Other,Portage from Cypress Lake. BWCA Lake non motorized route.,Unknown,38020900
Unknown,Other,By portage only through BWCA.,Unknown,38021000
US Forest Service,Carry-In,Rocky waterfall - not navigable.,Fee/Permit needed,38021100
US Forest Service,Carry-In,,Fee/Permit needed,38021100
US Forest Service,Carry-In,,Fee/Permit needed,38021100
US Forest Service,Carry-In,,Fee/Permit needed,38021100
Unknown,Other,Access by USFS portage from Ester Lake within the BWCAW non-motor route.,Unknown,38021400
Unknown,Other,By portage only-BWCA.,Unknown,38021600
US Forest Service,Carry-In,A short carry-down trail off of USFS Rd. 172.,Unknown,38021800
US Forest Service,Carry-In,Carry-in access at a remote campsite along the southern shore.,Open to Public use,38021900
US Forest Service,Concrete,Concrete ramp at the USFS campground on the southwestern shore of the lake.,Open to Public use,38021900
US Forest Service,Portage,A 0.2 mile portage trail from T Lake to the northeast shore of Silver Island Lake.,Open to Public use,38021900
US Forest Service,Portage,,Fee/Permit needed,38022000
US Forest Service,Portage,,Fee/Permit needed,38022000
Unknown,Other,Portages from Fraser and Row Lake in BWCA on non-motor route.,Unknown,38022500
US Forest Service,Portage,,Fee/Permit needed,38022600
US Forest Service,Portage,Kek ponds is a series of waterways between Kekakabic & Eddy Lk.,Fee/Permit needed,38022600
US Forest Service,Portage,Fairly steep grade up to Strup Lk.,Fee/Permit needed,38022600
US Forest Service,Portage,Fairly level portage.,Fee/Permit needed,38022600
US Forest Service,Portage,75 rod portage to Knife Lake,Open to Public use,38022700
US Forest Service,Portage,20 rod portage to Little Knife Lake.,Open to Public use,38022700
US Forest Service,Portage,20 rod portage to Topaz Lake.,Open to Public use,38022700
US Forest Service,Other,USFS PORTAGE ~20 RODS~ FROM KEKEKABIC LAKE. LAKE IS WITHIN THE BWCAW.,Unknown,38022800
US Forest Service,Carry-In,Channel is not navigable - rocky falls and rapids.,Fee/Permit needed,38022900
DNR,Other,,Fee/Permit needed,38022900
US Forest Service,Carry-In,,Fee/Permit needed,38022900
DNR,Carry-In,,Open to Public use,38023000
DNR,Carry-In,,Open to Public use,38023000
DNR,Carry-In,,Open to Public use,38023100
DNR,Carry-In,A 1.8 mile hike from Tettegouche State Park trailhead off of State Hwy #61 to the east shore. Park permit required,Fee/Permit needed,38023200
DNR,Carry-In,"From parking lot on Lake County 402 (Lax Lake Rd) hike 1.6 miles on visitor access road, over steep terrain, to Tettegouche Camp on Micmac Lake; then 0.8 mile northeast on hiking trail to the west end of Nipisiquit Lake.",Fee/Permit needed,38023200
DNR,Carry-In,,Open to Public use,38023300
DNR,Carry-In,State Park vehicle permit required to park at trailhead.,Open to Public use,38023300
Unknown,Other,NONE.,Unknown,38023500
County,Carry-In,Carry-in off of Lake County Road 6 at culvert; then upstream in outlet to the lake.,Unknown,38024000
Unknown,Other,NONE,Unknown,38024100
Unknown,Other,NONE,Unknown,38024300
DNR,Carry-In,,Open to Public use,38024500
County,Other,3.2 mi. on Sonju L. Rd. to logging rd.; N. 0.25 mi. to unmarked trail; east 1200 ft. ; canoe to N. end of Lake 23; up inlet; portage 1000 ft. .,Unknown,38024600
County,Other,There is no designated public access. Hiking across county land to the southwest end of the lake is possible. No marked trails.,Unknown,38024700
,Carry-In,Cut new access west of old trail on more gentle slope.,Open to Public use,38024800
DNR,Carry-In,"Vehicle travel to the south end of the logging road; then on foot trail to north shore of the main lake basin. The trail is wet in places, not suitable for ATV travel.",Open to Public use,38025100
Unknown,Other,NONE,Unknown,38025200
US Forest Service,Other,Lake is surrounded by federal land and is 0.1 mile north of Forest Service Road 172.,Unknown,38025400
US Forest Service,Carry-In,Not being used or maintained.,Open to Public use,38025500
US Forest Service,Carry-In,,Open to Public use,38025500
US Forest Service,Carry-In,"No parking on Wanless Road, need to park at Divide access or campground.",Open to Public use,38025500
US Forest Service,Carry-In,"Carry-in access at USFS campground, about a 25 yard carry.",Open to Public use,38025600
US Forest Service,Carry-In,Many access points off of USFS forest road 172 along the north shore of the lake.,Unknown,38025600
US Forest Service,Carry-In,About a 50 foot carry-in at the small parking area along the Wanless Road.,Open to Public use,38025600
US Forest Service,Carry-In,,Open to Public use,38025700
US Forest Service,Carry-In,,Open to Public use,38025800
US Forest Service,Carry-In,,Open to Public use,38025900
US Forest Service,Carry-In,Fairly close to private (Marlow) land.,Open to Public use,38026000
Unknown,Other,THIS LAKE IS SURROUNDED BY PRIVATE PROPERTY HOWEVER THERE IS A ROAD AND TRAIL USED BY PUBLIC ACCESS,Unknown,38026100
US Forest Service,Other,,Open to Public use,38026400
County,Earthen,,Open to Public use,38026900
County,Carry-In,,Open to Public use,38026900
US Forest Service,Carry-In,Carry through the brush to Scott Creek. Then paddle up the creek to the lake.,Open to Public use,38027100
US Forest Service,Earthen,,Open to Public use,38027200
Unknown,Other,FROM USFS RD. #356 N. FOR 2 MI. ON USFS RD. #913TO COMFORT L.; NE ACROSS COMFORT L. and ISLAND R.,Unknown,38028100
Unknown,Other,N.W. FROM USFS R.D#356 IN SEC. 14 FOR 1.8 MILES ON UNMARKED OVERGROWN LOGGING RD THEN WEST FOR 250YD,Unknown,38028200
Unknown,Other,N.W. FROM USFS RD. #356 IN SEC. 14 FOR 1.8 MILES ON UNMARKED OVERGROWN LOGGING RD THEN 0.25 ML E.,Unknown,38028300
DNR,Other,North 0.5 mi. on logging road; from USFS Rd 356; to marshy area; then 75 yd carry to Foolhen Cr.; then canoe 0.2 mi. downstream to the lake.,Open to Public use,38028500
